"ParticipantID","Question.Name","Question.Type","Question.Order","Question.Number","q.solv.time","grade","pp.mean","pp.log.mean","HR.E4.mean","HR.E4.validated.mean","HR.AW.mean","pp_normalized","pp_log_normalized","hr.e4_normalized","hr.e4_validated_normalized","hr.aw_normalized","Gender","SAI.Score"
"S002","A1M101.3","A",1,"1",107,1,0.00502658425035179,-5.29333904999962,70.5558878504673,70.0105,75.95,0.000774870972696345,0.169137855851932,-6.56896264787159,-7.1134344262295,-6.14903018231959,"F",33
"S002","A2M106.4","A",2,"2",68,0,0.00543391814980564,-5.21520574750578,80.1576470588235,80.4369230769231,72.8461538461538,0.00118220487215019,0.247271158345774,3.03279656048466,3.31298865069357,3.45272902603665,"F",33
"S002","A3M104.4","A",3,"3",123,1,0.00562407649327564,-5.18080509981648,74.1373983739837,74.0632,75.72,0.00137236321562019,0.281671806035075,-2.98745212435513,-3.06073442622952,-2.56751965880314,"F",33
"S002","A4M105.4","A",4,"4",150,1,0.00548633719157672,-5.2058626436603,77.0943333333333,77.09,76.7333333333333,0.00123462391392127,0.256614262191252,-0.0305171650055343,-0.0339344262295072,0.38941530054646,"F",33
"S002","A5M108.4","A",5,"5",148,0,0.00524766802362697,-5.25062445172575,74.0473648648649,74.0455172413793,74.0344827586207,0.000995954745971527,0.211852454125805,-3.07748563347401,-3.0784171848502,-2.65755316792202,"F",33
"S002","A6M107.3","A",6,"6",14,1,0.00489102131509803,-5.32035437338391,74.6171428571429,74.93,73.6666666666667,0.000639308037442585,0.142122532467647,-2.50770764119602,-2.19393442622952,-2.08777517564403,"F",33
"S002","A7M111.4","A",7,"7",13,0,0.00521095295272742,-5.25699603243372,80.2753846153846,80.35,74,0.000959239675071976,0.205480873417839,3.15053411704574,3.22606557377048,3.57046658259773,"F",33
"S002","A8M112.3","A",8,"8",7,1,0.0054306466877987,-5.21569835176544,63.5257142857143,63.515,72.5,0.00117893341014325,0.246778554086115,-13.5991362126246,-13.6089344262295,-13.1792037470726,"F",33
"S002","A9M113.3","A",9,"9",10,0,0.00557960283276713,-5.18864175576164,73.45,73.6,75,0.00132788955511168,0.273835150089913,-3.67485049833887,-3.52393442622952,-3.25491803278688,"F",33
"S002","B10M102.1","V",5,"29",197,1,0.00601592273037252,-5.11378624990661,76.318730964467,76.36775,76.675,0.00176420945271707,0.34869065594495,-0.806119533871865,-0.75618442622951,-0.38618706831987,"F",33
"S002","B11M111.1","W",6,"18",62,0,0.00556709932759108,-5.19094940686108,79.4429032258064,79.5076923076923,78.2307692307692,0.00131538604993563,0.271527498990481,2.31805272746757,2.3837578814628,2.73798519301957,"F",33
"S002","B12M112.1","V",6,"30",39,0,0.0060016490610085,-5.11583156011739,77.7230769230769,77.9525,73.875,0.00174993578335306,0.346645345734163,0.598226424738044,0.82856557377049,1.01815889029004,"F",33
"S002","B1M106.1","W",1,"13",81,1,0.00542437453710823,-5.2168950927811,113.816543209877,NA,NA,0.00117266125945278,0.245581813070454,36.6916927115377,NA,37.1116251770897,"F",33
"S002","B2M103.1","V",1,"25",13,0,0.00594559713970992,-5.12512382180438,81.7330769230769,81.735,81.5,0.00169388386205447,0.337353084047179,4.60822642473805,4.61106557377049,5.02815889029004,"F",33
"S002","B3M107.1","W",2,"14",76,1,0.00561237695354722,-5.1831269669642,121.095789473684,NA,NA,0.00136066367589177,0.279349938887352,43.9709389753453,NA,44.3908714408973,"F",33
"S002","B4M109.1","V",2,"26",60,1,0.00582745051428037,-5.14563288726944,74.1838333333333,74.4491666666667,73.3333333333333,0.00157573723662492,0.316844018582119,-2.94101716500553,-2.67476775956284,-2.52108469945354,"F",33
"S002","B5M101.1","V",3,"27",64,0,0.00535067010238312,-5.23066228196579,79.07453125,76.5933333333333,85.3333333333333,0.00109895682472767,0.231814623885765,1.94968075166112,-0.530601092896177,2.36961321721311,"F",33
"S002","B6M108.1","V",4,"28",173,1,0.00564963165994094,-5.17709300264864,64.7989595375723,65.8429032258065,74.4516129032258,0.00139791838228549,0.285383903202919,-12.3258909607666,-11.2810312004231,-11.9059584952146,"F",33
"S002","B7M114.2","W",3,"15",29,1,0.00580512141882594,-5.14909956372716,119.764827586207,NA,NA,0.00155340814117049,0.313377342124398,42.639977087868,NA,43.05990955342,"F",33
"S002","B8M110.1","W",4,"16",128,1,0.00565479431047283,-5.17530299032885,86.214765625,76.0283333333333,80.0555555555556,0.00140308103281738,0.287173915522709,9.08991512666113,-1.09560109289617,9.50984759221312,"F",33
"S002","B9M115.2","W",5,"17",38,1,0.00556189043066008,-5.19184164677971,75.256052631579,75.07,76,0.00131017715300463,0.270635259071843,-1.86879786675992,-2.05393442622952,-1.44886540120793,"F",33
"S002","C10M115.1","W",12,"24",117,1,0.00626943225578693,-5.07214093197182,76.245811965812,76.3529166666667,78.75,0.00201771897813148,0.390335973879735,-0.879038532526906,-0.771017759562838,-0.459106066974911,"F",33
"S002","C11M113.1","V",11,"35",9,0,0.00566468033691404,-5.17352833100696,68.9244444444444,69.32,72.5,0.0014129670592586,0.288948574844598,-8.20040605389443,-7.80393442622952,-7.78047358834243,"F",33
"S002","C1M104.2","W",7,"19",125,1,0.00545482621569228,-5.21139739917646,73.69272,73.6147826086956,76.0869565217391,0.00120311293803683,0.251079506675095,-3.43213049833888,-3.50915181753386,-3.01219803278688,"F",33
"S002","C2M103.2","V",7,"31",178,1,0.00578515830710903,-5.15514711577995,73.5390449438202,73.4175,71.6666666666667,0.00153344502945359,0.307329790071609,-3.58580555451864,-3.70643442622951,-3.16587308896665,"F",33
"S002","C3M105.1","W",8,"20",99,1,0.00536478581802303,-5.22799749662991,76.2137373737374,76.2214285714286,73.2380952380952,0.00111307254036758,0.234479409221651,-0.911113124601499,-0.902505854800935,-0.491180659049505,"F",33
"S002","C4M101.2","V",8,"32",105,0,0.00495212689921073,-5.3083819405472,75.7558095238095,75.8235,72.35,0.00070041362155528,0.154094965304359,-1.36904097452936,-1.30043442622951,-0.949108508977361,"F",33
"S002","C5M109.2","W",9,"21",73,1,0.00534702772813734,-5.23139139041253,77.2184931506849,77.4984615384615,81.6153846153846,0.00109531445048189,0.23108551543903,0.0936426523460625,0.37452711223203,0.513575117898057,"F",33
"S002","C6M114.1","W",10,"22",80,1,0.00559849273710457,-5.18526058391546,71.447625,71.3875,78.375,0.00134677945944913,0.277216321936095,-5.67722549833887,-5.73643442622951,-5.25729303278688,"F",33
"S002","C7M107.2","W",11,"23",9,0,0.00557807989153877,-5.18891129508379,73.1833333333333,73.25,83,0.00132636661388332,0.273565610767769,-3.94151716500554,-3.87393442622951,-3.52158469945354,"F",33
"S002","C8M117.1","V",9,"33",7,0,0.00502518649301142,-5.29329275477717,62.1942857142857,61.37,74,0.000773473215355968,0.169184151074386,-14.9305647840532,-15.7539344262295,-14.5106323185012,"F",33
"S002","C9M102.2","V",10,"34",118,1,0.0061976993970931,-5.08423746935569,66.7637288135593,66.9461904761905,75.7619047619048,0.00194598611943765,0.378239436495867,-10.3611216847795,-10.177743950039,-9.94118921922755,"F",33
"S003","A10M117.2","A",10,"10",98,1,0.0059428721374323,-5.12641317319434,65.5679591836735,65.624,68.05,0.000954226763257141,0.182482689396156,-9.71167451596024,-9.53563636363637,-9.83204081632654,"M",30
"S003","A11M116.2","A",11,"11",157,0,0.00523583548761654,-5.25246373491793,72.3583720930232,70.5833333333333,78.8125,0.000247190113441383,0.0564321276725694,-2.92126160661046,-4.57630303030304,-3.04162790697676,"M",30
"S003","A12M116.3","A",12,"12",72,1,0.00532592666206827,-5.23526668885374,73.1911111111111,73.98,71,0.000337281287893113,0.0736291737367498,-2.08852258852259,-1.17963636363636,-2.20888888888889,"M",30
"S003","A1M101.3","A",1,"1",63,1,0.00523837081103352,-5.25180781334122,71.2763492063492,71.1875,69.8333333333333,0.000249725436858365,0.0570880492492778,-4.0032844932845,-3.97213636363637,-4.1236507936508,"M",30
"S003","A2M106.4","A",2,"2",77,1,0.00508785338535791,-5.28104033575239,76.1109090909091,75.978,75.7333333333333,9.92080111827534e-05,0.0278555268381089,0.831275391275383,0.818363636363628,0.710909090909084,"M",30
"S003","A3M104.4","A",3,"3",63,1,0.00546139918062291,-5.21048628710809,75.2046031746032,75.4792307692308,72.2307692307692,0.00047275380644775,0.098409575482405,-0.0750305250305274,0.319594405594401,-0.195396825396827,"M",30
"S003","A4M105.4","A",4,"4",98,1,0.00628784882101488,-5.06954690320295,73.8288775510204,73.88,76.85,0.00129920344683973,0.239348959387541,-1.45075614861329,-1.27963636363637,-1.57112244897959,"M",30
"S003","A5M108.4","A",5,"5",115,1,0.00574518697552797,-5.15959621731241,70.226347826087,70.1495454545455,70.4545454545455,0.000756541601352818,0.149299645278087,-5.05328587354676,-5.01009090909091,-5.17365217391306,"M",30
